company_name,product_name,extract_name,dmf_no,dmf_status,dmf_submit_date,dmf_country,cep_certificate_number,cep_issue_date,cep_status,cep_end_date,cep_type,written_confirmation_no,wc_issue_date,valid_till,product_name_wc
MALLADI DRUGS AND PHARMACEUTICALS LTD,"6,7- DIMETHOXY- 3,4- DIHYDROISOQUINOLINE HYDROCHLORIDE","6,7-Dimethoxy-3,4-dihydroisoquinoline hydrochloride",30190,Active,07/01/2016,India,,,,,,,,,
ALBANY MOLECULAR RESEARCH INC,"SODIUM TARTRATE, NF EXCIPIENT",Sodium Tartrate excipient,28261,InActive,19/06/2014,U.S.A,,,,,,,,,
SEPPIC DIV AIR LIQUIDE,MONTANOX 80DF,Montanox,10105,InActive,22/02/1993,Gabon,,,,,,,,,
SPI PHARMA INC,MANNOGEM® MANNITOL USP PRODUCTS,Mannitol,803,InActive,13/05/1964,U.S.A,,,,,,,,,
JC BIOLOGY TECHNOLOGY CO LTD,UNFILLED HARD SHELL HYPROMELLOSE CAPSULES,Hypromellose,26809,Active,16/01/2013,China,,,,,,,,,
NIPPON FINE CHEMICAL CO LTD,PHOSPHOLIPID DPPC,DPPC Excipient,7775,InActive,16/11/1988,Japan,,,,,,,,,
NIPPON FINE CHEMICAL LTD,PALMITIC ACID,Palmitic Acid,9730,InActive,15/06/1992,Japan,,,,,,,,,
WAVELENGTH ENTERPRISES LTD,LEVOCETIRIZINE DIHYDROCHLORIDE,levocetirizine dihydrochloride,24161,InActive,29/08/2010,Israel,,,,,,,,,
DR REDDYS LABORATORIES LTD,NEBIVOLOL HYDROCHLORIDE,Nebivolol Hydrochloride,24821,InActive,31/03/2011,India,,,,,,,,,
ZACH SYSTEM SPA,KETOSULFONE,Ketosulfone,15324,InActive,28/02/2001,Gabon,,,,,,,,,
ICI AMERICAS INC,SORBITAN MONOOLEATE (SPAN 80)  (VET MED) REFERRED TO PESTICIDE BRANCH,sorbitan monooleate,402,InActive,01/01/1940,Gabon,,,,,,,,,
FARMAKON,PROTHIADEN/DOSULEPIN HCL MNFG BY FARMAKON NATIONAL CORP FOR SPOFA,PROTHIADEN/DOSULEPIN HCL,3722,InActive,29/01/1980,Gabon,,,,,,,,,
AVRA LABORATORIES PVT LTD,TICAGRELOR,Ticagrelor,33937,InActive,30/10/2019,India,,,,,,WC-0067,14/02/2020,07/07/2022,Ticagrelor IH
ALDRICH CHEMICAL CO ISOTEC FACILITY,"POTASSIUM PALMITATE -1,2,3,4-(13)C4",PALMITATE,20567,InActive,29/05/2007,U.S.A,,,,,,,,,
BACHEM AMERICAS INC,SINCALIDE,Sincalide,30431,InActive,17/03/2016,Switzerland,,,,,,,,,
BACHEM FEINCHEMIKALIEN AG,DESMOPRESSIN ACETATE,Desmopressin Acetate,10283,InActive,10/06/1993,Switzerland,,,,,,,,,
BACHEM INC,DESMOPRESSIN,DESMOPRESSIN,14362,InActive,24/08/1999,Switzerland,,,,,,,,,
